timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751089153905,1274,GET ALL SONG,200,,Test API nghe nhạc 1-57,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1266,0,280
1751089154612,579,GET ALL SONG,200,,Test API nghe nhạc 1-285,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,562,0,0
1751089154701,491,GET ALL SONG,200,,Test API nghe nhạc 1-81,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,491,0,0
1751089153910,1282,GET ALL SONG,200,,Test API nghe nhạc 1-74,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1282,0,216
1751089154070,1138,GET ALL SONG,200,,Test API nghe nhạc 1-220,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1135,0,45
1751089154732,492,GET ALL SONG,200,,Test API nghe nhạc 1-219,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,492,0,0
1751089154072,1152,GET ALL SONG,200,,Test API nghe nhạc 1-137,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1152,0,49
1751089154071,1153,GET ALL SONG,200,,Test API nghe nhạc 1-131,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1153,0,43
1751089154070,1155,GET ALL SONG,200,,Test API nghe nhạc 1-112,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1154,0,43
1751089154580,647,GET ALL SONG,200,,Test API nghe nhạc 1-180,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,646,0,0
1751089154704,535,GET ALL SONG,200,,Test API nghe nhạc 1-154,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,522,0,0
1751089153891,1349,GET ALL SONG,200,,Test API nghe nhạc 1-186,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1349,0,264
1751089155119,130,GET ALL SONG,200,,Test API nghe nhạc 1-295,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,130,0,0
